   ------------------------------------------------------------------
  | Welcome to ROOT 6.26/08                        https://root.cern |
  | (c) 1995-2021, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Oct 18 2022, 08:30:35                 |
  | From tags/v6-26-08@v6-26-08                                      |
  | With g++ (GCC) 11.3.0                                            |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q'       |
   ------------------------------------------------------------------


Processing PixelCalib.C...
here we go
Running on BLayer
Selected test files with small samples of input are used
File ../../test/SAMPLE_S000087719.root opened.
Mapping file opened ok
File ../../test/SAMPLE_S000087717.root opened.
Mapping file opened ok

INFO =>> tot calib analysis...
File ../../test/SAMPLE_S000087710.root opened.
Mapping file opened ok
L0_B04_S2_A7_M1A
I4 4296 59 152 5162 4302 59 168 5351 4295 67 217 5250 1.02686e+09 -125.982 1.13408e+12 7.16236e+08 -0.987349 7.92035e+11 0.276435 1.93723e-05
I5 4311 59 153 5343 4311 65 169 5531 4313 62 213 5406 11464.7 39.1109 1.27676e+07 1292.11 154.582 1.43186e+06 0.316543 1.62247e-05
I6 4266 56 146 5191 4258 55 162 5417 4270 65 197 5270 9.71812e+06 27.2 1.08547e+10 7.89456e+08 216.664 8.92152e+11 0.266075 1.71136e-05
I7 4317 56 144 5166 4313 56 156 5359 4289 65 196 5152 1.42759e+09 -254.948 1.57739e+12 3.50316e+08 -72.7572 3.89474e+11 0.241406 1.9337e-05
I8 4279 59 146 5136 4266 62 161 5328 4284 56 197 5139 269.712 -864.136 266328 0 -4.18727e+07 0 0.238722 2.12163e-05
I9 4280 57 150 5251 4280 56 166 5473 4262 77 208 5245 2.05111e+10 -19.6375 2.27201e+13 0 -3.41616e+07 0 0.294413 1.81544e-05
I10 4314 57 144 5087 4316 53 158 5230 4329 58 207 5051 3035.33 -438.244 3.29111e+06 4.6446e-41 0.474531 54.4073 0.250716 1.87499e-05
I11 4313 58 151 5375 4312 59 164 5537 4308 64 203 5367 4.35274e+08 102.034 4.87005e+11 947.866 37.0225 1.03188e+06 0.296423 1.56152e-05
I12 4305 63 158 5584 4301 61 176 5747 4290 63 212 5573 1.965e+09 460.944 2.24326e+12 489.142 231.912 534095 1.1635 -1.21306e-05
I13 4280 54 140 4979 4280 57 156 5131 4264 61 198 4987 8.94927e+08 -459.062 9.78046e+11 4.23002e+09 -277.652 4.68735e+12 0.206199 2.29488e-05
I14 4313 58 142 5289 4301 63 156 5501 4275 69 187 5223 0 -28284.3 0 6.62423e+08 116.532 7.50957e+11 0.24202 2.25177e-05
I15 4260 53 136 4937 4260 57 149 5150 4255 60 182 4870 4.39792e+09 -444.391 4.83765e+12 0 -4.08313e+07 0 0.186914 2.41152e-05
